Date,Open,High,Low,Close,Adj Close,Volume
2019-05-22,65.839996,65.919998,64.639999,64.660004,53.633648,12564900
2019-05-23,63.820000,63.939999,63.080002,63.900002,53.003246,15042200
2019-05-24,64.290001,64.709999,64.059998,64.389999,53.409683,9715400
2019-05-28,64.089996,64.449997,63.759998,63.790001,52.912006,14727400
2019-05-29,63.150002,63.830002,62.720001,63.709999,52.845654,13836300
2019-05-30,64.769997,65.250000,63.250000,63.610001,52.762699,13570900
2019-05-31,62.389999,62.869999,61.970001,62.150002,51.551678,19968900
2019-06-03,62.099998,62.779999,61.939999,62.610001,51.933224,19636800
2019-06-04,63.790001,65.940002,63.759998,65.879997,54.645607,17743100
2019-06-05,65.449997,66.019997,64.500000,65.779999,54.562660,12536300
2019-06-06,65.820000,66.769997,65.500000,66.470001,55.134995,10868900
2019-06-07,66.160004,66.800003,65.620003,65.690002,54.488010,11674200
2019-06-10,66.879997,67.980003,66.730003,67.120003,55.674160,10994700
2019-06-11,67.580002,68.029999,67.160004,67.879997,56.304535,9800900
2019-06-12,67.650002,67.809998,66.629997,66.809998,55.417007,9878300
2019-06-13,66.830002,67.440002,66.769997,67.080002,55.640976,9453600
2019-06-14,67.150002,67.720001,66.500000,67.480003,55.972767,8901900
2019-06-17,67.500000,67.510002,66.400002,66.540001,55.193058,8135900
2019-06-18,66.809998,68.250000,66.500000,67.980003,56.387497,12199100
2019-06-19,68.160004,68.589996,67.580002,67.589996,56.064003,12334800
2019-06-20,68.559998,68.720001,67.239998,68.099998,56.487026,15557100
2019-06-21,68.029999,68.959999,67.820000,67.970001,56.379204,19502500
2019-06-24,67.820000,68.500000,67.379997,67.410004,55.914707,11223700
2019-06-25,67.459999,67.480003,66.480003,66.540001,55.193058,14205600
2019-06-26,67.040001,67.720001,66.769997,67.220001,55.757095,13654100
2019-06-27,67.620003,68.430000,67.529999,68.150002,56.528496,11989100
2019-06-28,69.279999,70.209999,69.129997,70.029999,58.087914,20388700
2019-07-01,70.860001,71.639999,70.190002,70.739998,58.676834,13573600
2019-07-02,70.360001,70.980003,70.089996,70.440002,58.427998,10272200
2019-07-03,70.709999,71.199997,70.279999,70.849998,58.768089,7632400
2019-07-05,71.269997,71.800003,70.980003,71.400002,59.224289,9107300
2019-07-08,70.760002,71.690002,70.639999,71.129997,59.000320,10196000
2019-07-09,70.529999,71.669998,70.410004,71.559998,59.356998,9477700
2019-07-10,71.500000,71.940002,70.650002,71.129997,59.000320,12153200
2019-07-11,71.430000,72.000000,71.089996,71.610001,59.398460,10739400
2019-07-12,71.889999,72.019997,71.580002,71.769997,59.531189,15355700
2019-07-15,71.730003,72.150002,70.080002,71.709999,59.481419,23365800
2019-07-16,71.699997,72.000000,71.089996,71.320000,59.157932,16516600
2019-07-17,71.190002,71.500000,70.620003,70.820000,58.743195,12278200
2019-07-18,70.540001,71.900002,70.480003,71.790001,59.547779,13407400
2019-07-19,71.730003,72.169998,70.860001,70.919998,58.826138,11184600
2019-07-22,70.720001,71.290001,70.680000,71.110001,58.983749,7930600
2019-07-23,71.330002,72.180000,71.300003,71.989998,59.713673,11804300
2019-07-24,71.660004,73.080002,71.660004,73.010002,60.559753,12512900
2019-07-25,72.959999,73.080002,70.930000,71.389999,59.216000,15698300
2019-07-26,72.150002,72.639999,71.849998,72.160004,59.854687,10625900
2019-07-29,71.910004,72.339996,71.730003,71.760002,59.522903,8561200
2019-07-30,71.029999,71.709999,70.580002,71.709999,59.481419,9208300
2019-07-31,71.400002,71.660004,70.809998,71.160004,59.025219,13617300
2019-08-01,70.669998,71.089996,67.599998,68.349998,56.694382,22571000
2019-08-02,67.610001,68.059998,66.629997,67.610001,56.502186,14771400
2019-08-05,65.599998,65.820000,64.580002,65.180000,54.471413,21144800
2019-08-06,66.000000,66.330002,64.830002,66.250000,55.365623,12411500
